epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
65,616.026,0.94794,0.94641,1.18219,0.77801,0.73832,0.76722,0.5994,1.21965,1.31394,1.14816,0.000221781,0.000221781,0.000221781
66,626.735,1.03179,1.16799,1.27526,0.78012,0.74841,0.7814,0.5906,1.20839,1.31255,1.15625,0.000202918,0.000202918,0.000202918
67,636.919,0.96722,1.0426,1.24079,0.7293,0.76426,0.78675,0.59533,1.17392,1.26976,1.1541,0.000184055,0.000184055,0.000184055
68,647.073,0.96817,1.01213,1.257,0.77118,0.75688,0.79347,0.6113,1.09614,1.24913,1.11395,0.000165192,0.000165192,0.000165192
69,657.307,0.94406,0.96043,1.22001,0.75034,0.77044,0.80181,0.62165,1.08465,1.2245,1.09522,0.00014633,0.00014633,0.00014633
70,667.466,0.98041,0.97962,1.25397,0.7827,0.77121,0.8063,0.63826,1.07657,1.23465,1.06415,0.000127467,0.000127467,0.000127467
71,677.789,0.91256,0.94277,1.19994,0.7727,0.76667,0.79164,0.61727,1.02238,1.25619,1.02211,0.000108604,0.000108604,0.000108604
72,687.892,0.92037,0.93481,1.20423,0.7473,0.7688,0.78506,0.61552,1.03054,1.26971,1.02499,8.97412e-05,8.97412e-05,8.97412e-05
73,697.985,0.91153,0.92807,1.21178,0.72767,0.74689,0.75794,0.60668,1.0337,1.2822,1.02725,7.08784e-05,7.08784e-05,7.08784e-05
74,707.95,0.94227,0.93012,1.22696,0.69834,0.75238,0.75997,0.60606,1.03232,1.28964,1.02466,5.20156e-05,5.20156e-05,5.20156e-05
75,717.99,0.94278,0.91937,1.24749,0.70466,0.77879,0.76403,0.60624,1.02952,1.2836,1.02179,3.31528e-05,3.31528e-05,3.31528e-05
